model_label,capacity_regime,geometry,budget,variant,architecture,preprocessing,spatial_ranks,property_rank,property_weights,solver,outer_folds_selected
4D optimized,equal_per_property,wells,10,4D-B,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-06),5
4D optimized,equal_per_property,wells,10,4D-E,joint-property-residual,standardized_anomaly,"[80, 48]",2.0,"[1.0, 1.0]",ridge(alpha_relative=1e-06),3
4D optimized,equal_per_property,wells,10,4D-B,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=0.0001),1
4D optimized,equal_per_property,wells,10,4D-D,partial-spatial,standardized_anomaly,"[64, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-08),1
4D optimized,equal_per_property,wells,15,4D-B,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-06),6
4D optimized,equal_per_property,wells,15,4D-B,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=0.0001),2
4D optimized,equal_per_property,wells,15,4D-B,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-08),1
4D optimized,equal_per_property,wells,15,4D-D,partial-spatial,standardized_anomaly,"[64, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-08),1
4D optimized,equal_per_property,wells,20,4D-B,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-06),9
4D optimized,equal_per_property,wells,20,4D-B,shared-independent,standardized_anomaly,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-06),1
4D optimized,equal_per_property,wells,30,4D-B,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-06),9
4D optimized,equal_per_property,wells,30,4D-D,partial-spatial,standardized_anomaly,"[64, 48]",,"[1.0, 1.0]",ridge(alpha_relative=0.0001),1
4D optimized,equal_total,full,9900,4D-B,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",projection,8
4D optimized,equal_total,full,9900,4D-B,shared-independent,standardized_anomaly,"[80, 48]",,"[1.0, 1.0]",projection,2
4D optimized,equal_total,grid,30,4D-B,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-06),6
4D optimized,equal_total,grid,30,4D-B,shared-independent,standardized_anomaly,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-06),2
4D optimized,equal_total,grid,30,4D-D,partial-spatial,standardized_anomaly,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=0.0001),1
4D optimized,equal_total,grid,30,4D-D,partial-spatial,standardized_anomaly,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-06),1
4D optimized,equal_total,grid,100,4D-B,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-06),6
4D optimized,equal_total,grid,100,4D-B,shared-independent,standardized_anomaly,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-06),2
4D optimized,equal_total,grid,100,4D-B,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-08),1
4D optimized,equal_total,grid,100,4D-D,partial-spatial,standardized_anomaly,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-06),1
4D optimized,equal_total,grid,300,4D-D,partial-spatial,standardized_anomaly,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-06),7
4D optimized,equal_total,grid,300,4D-B,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",least_squares(rcond=1e-10),2
